,parameters,mean,std,2.5q,25q,50q,75q,97.5q,mc err
28,v_subj(BPD.1.Stressed).1169,0.7591103763403048,0.22087424658132565,0.3430263987807976,0.6058491098012958,0.7574588364953894,0.8969308680262738,1.2096313529488447,0.007333824571404633
29,v_subj(BPD.1.Stressed).1172,0.6802768770058957,0.17882055265707988,0.3513599573313503,0.5616551531643208,0.6720310144160485,0.7972730641366068,1.0580371621588183,0.007222145538388715
30,v_subj(BPD.1.Stressed).1184,0.6805543652687448,0.1397380579490814,0.42742745759287826,0.584058448583518,0.6728987810645972,0.7664196905845122,0.9784917826079553,0.005751573472750693
31,v_subj(BPD.1.Stressed).1203,0.22484466994526975,0.15899810832209238,-0.03156012092091298,0.12530806299887615,0.20841403712333056,0.30084812030323105,0.6321131862226353,0.00849357798556347
32,v_subj(BPD.1.Stressed).1247,-0.12595591368021236,0.10381882205551218,-0.3300230715626873,-0.1917920803424722,-0.12472421581909038,-0.05801125436845639,0.06800218536520541,0.001907786487895819
33,v_subj(BPD.2.Neutral).1077,0.4706332651396991,0.1879288422431135,0.14387507911048425,0.34122870379772086,0.4570265450899071,0.5790786944704736,0.8621607513112335,0.009070096539599774
34,v_subj(BPD.2.Neutral).1079,0.49844534273829005,0.14838216619528957,0.24729354242758395,0.40012934474068573,0.4868508802311602,0.5803500761808013,0.8397000469389844,0.0076581581907825295
35,v_subj(BPD.2.Neutral).1119,0.7161236635737102,0.21521847474518366,0.32744405159291334,0.5722883090640851,0.708153048245275,0.8472672451989256,1.1899560136088094,0.008504822891346077
36,v_subj(BPD.2.Neutral).1144,-0.03758818287239319,0.15997116420734428,-0.2814555859960812,-0.12921074889692408,-0.05142813196830448,0.027390038177153797,0.3367644027580051,0.009038146659210926
37,v_subj(BPD.2.Neutral).1149,0.24264916244624243,0.22351103271599937,-0.1341469211325088,0.10180133182112186,0.21869575005872743,0.35591339993500937,0.7793202259718275,0.010791851124015796
38,v_subj(BPD.2.Neutral).1180,0.3638697874228096,0.21006812741546657,0.03812469742762181,0.2286772690876343,0.3406860026897576,0.46359949724219107,0.8809061481086479,0.01094479259989956
39,v_subj(BPD.2.Neutral).1202,0.2561246729599407,0.17873631365398843,-0.02113822952204214,0.1426003430892864,0.23406664604303806,0.3417246281880442,0.7113306691864854,0.009792529521658093
40,v_subj(BPD.2.Neutral).1204,0.004810258848452817,0.18076882842280056,-0.23639163835035815,-0.09554846966512526,-0.02003137105225991,0.06448077223363513,0.5634838284945938,0.01124030659411608
41,v_subj(BPD.2.Neutral).1214,0.5118568071665753,0.24634392164282037,0.07204044384594033,0.34206520242744365,0.4978278998917862,0.6692015883089433,1.03089475050106,0.008944662929805286
42,v_subj(BPD.2.Neutral).1219,0.1943104797324415,0.18426031400651624,-0.07476227501260602,0.08322392973599385,0.16709747758661742,0.2660244453426515,0.6788114749029235,0.012119800500106661
43,v_subj(BPD.2.Neutral).1222,0.25522313762518883,0.2286052417879661,-0.11868569601561318,0.10220816455945525,0.2335925154195393,0.37683146354831487,0.7699294259787963,0.010854236113256071
44,v_subj(BPD.2.Neutral).1227,0.4199887938327359,0.24921318332514591,-0.02811104247234153,0.25068358775373395,0.407710273065542,0.5724698745194647,0.9374291084880925,0.009109869498228434
45,v_subj(BPD.2.Neutral).1229,0.3978893453960398,0.1885055738907621,0.08356910460162899,0.2750935867958771,0.3802462779766258,0.49545504136985674,0.8294772492431908,0.009851896511926025
46,v_subj(BPD.2.Stressed).1077,0.5648681663260476,0.19364254739226316,0.22334313311459858,0.43313989115821194,0.5579610521077605,0.6757543480263124,1.0119763478495167,0.008518192111630029
47,v_subj(BPD.2.Stressed).1079,0.3463556282505107,0.19340088372235675,-0.006018230571790406,0.21960145472316306,0.33495714438037966,0.4603694048979744,0.7791872987803294,0.007665423477982258
48,v_subj(BPD.2.Stressed).1119,0.743433744225745,0.2428107723292554,0.29475951755784957,0.5800048492191763,0.736379330819245,0.8926264737670393,1.2487785309754211,0.00925868706301203
49,v_subj(BPD.2.Stressed).1144,0.04025573830961331,0.12165639427929065,-0.17336490068668542,-0.0379788704650329,0.034622741808695345,0.10389396406874457,0.2865364335449929,0.004856951062695737
50,v_subj(BPD.2.Stressed).1149,0.8515558882901032,0.22103365127362704,0.45086535853243664,0.6950910231569785,0.8451051966232188,0.9897889981317715,1.3130576473981412,0.00893382250597108
51,v_subj(BPD.2.Stressed).1180,0.6268628855787326,0.2287807110209655,0.2109032375745215,0.46497486378217706,0.6193292179771024,0.7792085222927463,1.0980889393223185,0.008432594124636135
52,v_subj(BPD.2.Stressed).1202,0.48853482042189156,0.15767450079088588,0.241995123503984,0.39157615076238417,0.46959507942541767,0.5579179046563474,0.9154750406865308,0.009119565697660342
53,v_subj(BPD.2.Stressed).1204,0.53027660623301,0.22647468533813583,0.1170234204289331,0.3835064516926038,0.519968771469531,0.6684943708481029,0.9947414962172245,0.008398088018537248
54,v_subj(BPD.2.Stressed).1214,0.5127334152456446,0.15654921804373573,0.26613285750795623,0.41560779029740225,0.4972226902561373,0.5824359763818621,0.9282440439087245,0.008563278390025433
55,v_subj(BPD.2.Stressed).1219,0.6395082550782293,0.22925305973720825,0.20937901332837006,0.48384248416669173,0.6226780975689632,0.787037663617004,1.1193542318819483,0.008079784699384116
56,v_subj(BPD.2.Stressed).1222,0.7594250181897364,0.19746322550335685,0.4265338676575051,0.62745745914481,0.7471193123386407,0.8702527645001685,1.2080829978117855,0.009010985615448153
57,v_subj(BPD.2.Stressed).1227,0.6619790700348647,0.21517931875558563,0.2547568424685559,0.5197287013409051,0.657276486333628,0.7957520917356589,1.1170891681320536,0.007425448544197008
58,v_subj(BPD.2.Stressed).1229,0.4661639906904806,0.1917075948467589,0.1370028416543832,0.33971495129671314,0.4525025168558534,0.5698159825823593,0.8932470978897114,0.008020220186970841
59,v_subj(No BPD.1.Neutral).1002,-0.07632162378479218,0.10442989998971428,-0.2748750646793464,-0.14751875545147586,-0.07676266349259109,-0.006605694151359642,0.12826614268901027,0.0021261998574812527
60,v_subj(No BPD.1.Neutral).1012,0.06224629191273635,0.10830636763509376,-0.14755702923260738,-0.007873236649054705,0.05949309641556949,0.1326772708370226,0.27569302709231236,0.0022145073543086598
61,v_subj(No BPD.1.Neutral).1015,0.280039874607463,0.13196078511486486,0.030249567764301044,0.19146432418091242,0.2774629547417242,0.36676194398630046,0.5353369511247171,0.0033724326810997685
62,v_subj(No BPD.1.Neutral).1018,0.1650934806064626,0.1049216729420613,-0.025745156946213266,0.09277213925188266,0.1621256093361323,0.2303184358676056,0.37683101537747254,0.002619362356530445
63,v_subj(No BPD.1.Neutral).1020,0.4727166966424706,0.1686672411661529,0.15708543400294706,0.3590498042364089,0.4692925515459469,0.5795410433162858,0.8202494863065163,0.005591925776232662
64,v_subj(No BPD.1.Neutral).1021,0.33671919164085623,0.21010780586211142,-0.0674008080703894,0.19772666225178054,0.3341065947805999,0.476246483034519,0.7452386516558623,0.0043502969243447475
65,v_subj(No BPD.1.Neutral).1023,0.1360019338725464,0.13236384337374776,-0.1194238167402425,0.05094306093900289,0.12926151842937056,0.2128687977713012,0.4205353979600638,0.00408803375159282
66,v_subj(No BPD.1.Neutral).1024,0.29230438647483103,0.20492798371725865,-0.08625589505686304,0.15193999476677034,0.28842217858397223,0.42291350752284074,0.7213996658804176,0.0043562286480323354
67,v_subj(No BPD.1.Neutral).1031,0.3472154722242079,0.17166276857250712,0.02213484143465061,0.2316788251415437,0.3419919490455726,0.45585587734169586,0.6946440704107706,0.004834299529177162
68,v_subj(No BPD.1.Neutral).1033,0.14108002123907015,0.106544919040106,-0.0519034836785397,0.06966309226398162,0.13564985930285256,0.21065202000595884,0.35118516663184773,0.0028764600484066866
69,v_subj(No BPD.1.Neutral).1036,0.5987842448501194,0.1693406179244033,0.2830058999172299,0.4836048165302427,0.5955311889088339,0.7083595235534171,0.9456296045817388,0.0055467168466568195
70,v_subj(No BPD.1.Neutral).1040,0.39725807053711326,0.2053641554937058,0.007099894285216846,0.2613290703230342,0.3956157466547827,0.5320815143133273,0.7951694575816233,0.004452871067281998
71,v_subj(No BPD.1.Neutral).1042,0.2510312535264668,0.20000126018954245,-0.14521980916050053,0.12009280834159727,0.24728878927576986,0.3839928370615765,0.6561855379837244,0.004017350924072915
72,v_subj(No BPD.1.Neutral).1043,0.44357261676232657,0.16412448924987194,0.13008536313769353,0.3300320137411672,0.4394931651738332,0.5494608651970767,0.7758541070468441,0.004556555854909595
73,v_subj(No BPD.1.Neutral).1044,0.18402114958047935,0.14162631850230956,-0.08211022298054949,0.08821693170668712,0.1804272617844977,0.27660544478404697,0.47144890850259435,0.0032418464972098745
74,v_subj(No BPD.1.Neutral).1047,0.10569065887208128,0.1514771117593449,-0.12953629629545432,0.012831650832138247,0.09163443690626816,0.17065593426452436,0.49539376371312943,0.00921492642491695
75,v_subj(No BPD.1.Neutral).1052,0.12697298031278778,0.10388824593877884,-0.060389144360052605,0.05529638531077824,0.12358473359645694,0.1926028480328823,0.33982470974683365,0.0028497205336854665
76,v_subj(No BPD.1.Neutral).1054,0.029177470191196552,0.1306751198251176,-0.2129783261041464,-0.05539297649669628,0.022041185426726395,0.11381733400393385,0.281623189309793,0.0028940865008157185
77,v_subj(No BPD.1.Neutral).1057,0.12931008867322485,0.2046118827379688,-0.2668093405564035,-0.005756694364824733,0.12747211053362617,0.2665858969920917,0.5178683508713586,0.004391336469103501
78,v_subj(No BPD.1.Neutral).1061,0.3316860092629914,0.16523493652842675,0.009408495896103042,0.22225287839217417,0.3287721410602158,0.44118040108602086,0.6616393369519875,0.004218573214849956
79,v_subj(No BPD.1.Neutral).1065,-0.025928948692290173,0.10245941366587494,-0.232087165307983,-0.09320964857068548,-0.025721274784078374,0.04147770393845618,0.17261769975227048,0.002022489007627946
80,v_subj(No BPD.1.Neutral).1070,0.46406955428429897,0.16171088534603079,0.14176105548619355,0.3585042150687978,0.4610130945017688,0.5678389643684102,0.7947692683775243,0.004059393646537382
81,v_subj(No BPD.1.Neutral).1071,0.4297284741190495,0.16929920597806175,0.09849314225182482,0.31734088493987844,0.42645825514504254,0.5413563126366836,0.7675696693655767,0.0041802364836099285
82,v_subj(No BPD.1.Neutral).1072,0.21969665884819817,0.10464080732475743,0.01916505953416664,0.15102233653123653,0.21997926502994997,0.28725388350628067,0.431871981195006,0.0022220660997655877
83,v_subj(No BPD.1.Neutral).1076,0.3126409220567909,0.1699746236727643,-0.008062223937818969,0.20207744848809706,0.30976988013617857,0.4228903167177867,0.6518657108897719,0.004737388588486399
84,v_subj(No BPD.1.Neutral).1078,0.5752024572661997,0.13478146208495204,0.321552111085857,0.488474718675476,0.5706665077933143,0.660801504716634,0.8374563219132821,0.004615196740168874
85,v_subj(No BPD.1.Neutral).1087,0.45083042822153996,0.16879427164546063,0.13424363192954653,0.33294563229179996,0.4449670925337783,0.5592543528777345,0.7950243643668913,0.0045316420953639466
86,v_subj(No BPD.1.Neutral).1088,0.08402998016932683,0.10671166815455999,-0.12023231342632357,0.01467245935642325,0.08144006748938962,0.15151421395521023,0.294440374373671,0.0021804498766787098
87,v_subj(No BPD.1.Neutral).1091,0.36562135242941834,0.1992220126380013,-0.023356980688017503,0.22813137390436,0.3612058150959345,0.4941547803537527,0.7627047396708305,0.004623942784854137
88,v_subj(No BPD.1.Neutral).1092,0.4507977061682923,0.19691531850475558,0.08080543251643224,0.31470692806356304,0.44698921481183035,0.5816499794788192,0.8435373399344164,0.005661064990979741
89,v_subj(No BPD.1.Neutral).1093,0.4366560074232151,0.14180276579204748,0.17326205525378724,0.34188017394360987,0.4305814294269005,0.5244557832251835,0.7237905967911458,0.004160585662094125
90,v_subj(No BPD.1.Neutral).1096,-0.1531366792588979,0.10786523999810697,-0.36202556102684436,-0.22480499447741156,-0.15233074690726922,-0.0837016438127503,0.051705457453083636,0.002195222786718607
91,v_subj(No BPD.1.Neutral).1097,0.3091840589047705,0.10846505196977343,0.11238065157895338,0.23383699686485934,0.30535134794172625,0.3751160031138623,0.5321888882942567,0.0031877767664540402
92,v_subj(No BPD.1.Neutral).1100,0.1452475968951564,0.1470409769756576,-0.13064296748001747,0.04439776117538302,0.14077625627520052,0.23951621081031277,0.4472608093885926,0.004278335757301795
93,v_subj(No BPD.1.Neutral).1102,0.18479195583242372,0.10838179275077434,-0.018918787912630797,0.11345021573695882,0.18307402766878889,0.2503554057827902,0.4031592222571538,0.003276862964759598
94,v_subj(No BPD.1.Neutral).1106,0.5111378822710331,0.1621436519062723,0.20331131346047987,0.40254364557592026,0.5051996514636047,0.6147802101318196,0.8341773865748043,0.00429955527360581
95,v_subj(No BPD.1.Neutral).1107,0.48806232826863283,0.20277390118755526,0.10517120967644095,0.3509727335130879,0.4857616393640542,0.6254259353235443,0.8768717330331725,0.004745754918146358
96,v_subj(No BPD.1.Neutral).1112,0.3001124779563582,0.2107722150688646,-0.10080440149945524,0.15212387459304316,0.29919801790405987,0.4393072597386386,0.7128643146513585,0.004940040482969378
97,v_subj(No BPD.1.Neutral).1114,-0.14948347814437618,0.1036321124669176,-0.35620737455880325,-0.21699681304376872,-0.1491994368435564,-0.08100639697796916,0.052746295258455644,0.0021407419414575376
98,v_subj(No BPD.1.Neutral).1124,0.24887946665565555,0.11161522952865795,0.04260855927900685,0.17546171306649103,0.24523729901293567,0.3161471766330324,0.4675494026112583,0.003497299291683756
99,v_subj(No BPD.1.Neutral).1125,0.12680617156253268,0.10979121029979987,-0.07391281472818828,0.05402371642232888,0.12315570812421717,0.19583986900393852,0.35342535032166067,0.003137312247495927
100,v_subj(No BPD.1.Neutral).1143,0.4691829963606215,0.17317254204524213,0.14302620293301074,0.3540357009435067,0.46832930759743885,0.577112459288057,0.8180092828039901,0.004473578343026486
101,v_subj(No BPD.1.Neutral).1145,0.27829308008366227,0.1680912780043372,-0.03437498297527308,0.16496930345372163,0.2749130674880508,0.38385880733751887,0.6313684139292048,0.004776672566823975
102,v_subj(No BPD.1.Neutral).1148,0.23990533735528394,0.12165572398967475,0.01934230631669137,0.15808168138737458,0.23681888151584585,0.3194520520811158,0.48951015951357635,0.0027537216918120328
103,v_subj(No BPD.1.Neutral).1153,0.4189110849484532,0.19662619562525202,0.0356963467064233,0.28908394714753327,0.41836485223695163,0.5451489511337386,0.8196793999720038,0.005405763688541012
104,v_subj(No BPD.1.Neutral).1157,0.16412749789698378,0.1224016257962898,-0.06345957450110323,0.08395767735349827,0.16339232619349298,0.24474665793391637,0.40280113552105334,0.0027458154758286373
105,v_subj(No BPD.1.Neutral).1159,0.5063589422867965,0.12475392161238051,0.2798981001500074,0.42148392138542695,0.5010074738237835,0.582750266354406,0.7791502565474102,0.00493328721831183
106,v_subj(No BPD.1.Neutral).1163,0.227558870395324,0.11209257020343301,0.021256233546900982,0.15250833227642524,0.22351211124639947,0.2947378890826295,0.4576368501664384,0.0032839523146550266
107,v_subj(No BPD.1.Neutral).1164,0.41132020651100687,0.1643698266991615,0.09621006394353275,0.3049954978499775,0.40541463139450606,0.5132192485463951,0.755033381273426,0.004845261217925122
108,v_subj(No BPD.1.Neutral).1168,0.23475148558929024,0.1983288152028397,-0.15232943881036215,0.10350355709569237,0.23070400485277404,0.36732706473639093,0.6121413654154751,0.004253071754349398
109,v_subj(No BPD.1.Neutral).1173,0.2628352405090212,0.11113467287431578,0.049295794479855826,0.190165209880893,0.25895568338319375,0.33174635795161234,0.48100236429942145,0.0034102462064056053
110,v_subj(No BPD.1.Neutral).1197,0.5126095996815032,0.21194689807860068,0.10716042859819297,0.36658218387337804,0.5084930993992384,0.6536429797154766,0.9484245834552985,0.005430929761212446
111,v_subj(No BPD.1.Neutral).1200,0.527162939249706,0.20185450810507818,0.14512610078187044,0.392594752112553,0.5266056342322977,0.6587923418300401,0.9317947081783391,0.004913685880433264
112,v_subj(No BPD.1.Neutral).1205,0.5292768629076059,0.1507944431868617,0.2532074909519504,0.4255177921391531,0.5229719893718532,0.6226783794625322,0.8282732251941998,0.005231746548542953
113,v_subj(No BPD.1.Neutral).1206,0.2942356847956959,0.16653927036373847,-0.015357606410220215,0.1855145620962362,0.292157964147159,0.3988007152875526,0.6458101710780699,0.004871140446550846
114,v_subj(No BPD.1.Neutral).1207,0.19304296520479913,0.12886022006471912,-0.04359303406163917,0.10714473427903148,0.1891841402387476,0.27199385911446305,0.4539978613119541,0.003445994954953021
115,v_subj(No BPD.1.Neutral).1208,-0.042096969074413064,0.10291644515899777,-0.248826201558837,-0.10997221478411068,-0.041738242831228956,0.02737143853528068,0.15419612422371437,0.0019218272691630335
116,v_subj(No BPD.1.Neutral).1224,0.2725673214863423,0.14404474160228947,-0.0033270007106072086,0.17306525791783167,0.27715005227219147,0.3688792944820089,0.553656160588765,0.0031151419978465676
117,v_subj(No BPD.1.Neutral).1226,0.42752937563041976,0.20969236906419783,0.01741776706064964,0.28756754583416466,0.42221785872543194,0.5628363054726786,0.868118300878608,0.0044259221029914345
118,v_subj(No BPD.1.Neutral).1228,0.28825969949805397,0.20523856424558587,-0.093497864417588,0.14649759645224225,0.282989905648416,0.4234492327506487,0.7049717682815161,0.004833972353875232
119,v_subj(No BPD.1.Neutral).1230,0.1187566368953688,0.10531398102429854,-0.0807316368201016,0.047901132072140445,0.11746091441536965,0.19103683218959167,0.3200866944939397,0.0021936695110615387
120,v_subj(No BPD.1.Neutral).1231,0.3644513023615026,0.11076249301531225,0.16166410365047168,0.2910118405082774,0.3608019424179181,0.43404903582309345,0.5842622082385736,0.003549744255801752
121,v_subj(No BPD.1.Neutral).1243,0.48933819318117505,0.16398053202601184,0.17844693688570556,0.37984824007254125,0.48506122539911944,0.5977196208425521,0.8247321362629734,0.004343636238719459
122,v_subj(No BPD.1.Stressed).1002,0.5184151713560485,0.20471016555015334,0.11616948866898891,0.3814007996329296,0.5172294944230806,0.6558989653050005,0.9197147257425791,0.004051287157452771
123,v_subj(No BPD.1.Stressed).1012,0.3886473682107148,0.16397205894969727,0.074928607673169,0.2775135859227835,0.3873742957988978,0.4948942978573427,0.7188486536816712,0.004142582110421067
124,v_subj(No BPD.1.Stressed).1015,-0.12214692475645382,0.10260365945878346,-0.32802652300772395,-0.19365060953900662,-0.1205543991028532,-0.05454303508641245,0.08519060962463598,0.002013744227278615
125,v_subj(No BPD.1.Stressed).1018,0.5733707715745682,0.16664883703735994,0.2581149808508067,0.4633927198589426,0.5700203297948373,0.6830411850132493,0.9170693131367988,0.004603063323606722
126,v_subj(No BPD.1.Stressed).1020,0.5598305963263505,0.16426906416191797,0.24957820559799626,0.4487545699221235,0.5596658069734665,0.6639839498589953,0.8858560969400138,0.00353975875696576
127,v_subj(No BPD.1.Stressed).1021,0.645928455934913,0.1654908770022512,0.3281023851556085,0.5331476068944567,0.6440958172054874,0.7492122759072614,0.9789414355080056,0.004475988104381754
128,v_subj(No BPD.1.Stressed).1023,0.44003590938999926,0.20204520699614797,0.03509876618969998,0.31071631709920244,0.44112289518074965,0.5708720267769201,0.8433409425607881,0.004762527411593653
129,v_subj(No BPD.1.Stressed).1024,0.2543572376383359,0.13229857951253696,0.006985431574705547,0.1672029794592345,0.2513553119502127,0.3400785781508264,0.516061255501896,0.0028083396685422545
130,v_subj(No BPD.1.Stressed).1031,0.2961463609933472,0.21320157722091004,-0.09830878774514518,0.15153855279958606,0.2876124230535859,0.4280984720922653,0.7365559672565639,0.005537034739152159
131,v_subj(No BPD.1.Stressed).1033,0.036274291754944836,0.10106322157476298,-0.15956358982795726,-0.03189960356290772,0.03534438576379151,0.1025596393224906,0.23861189037988884,0.00176047380492018
132,v_subj(No BPD.1.Stressed).1036,0.43732326199111066,0.2009947065905883,0.06311070052576395,0.29986588359980737,0.4321063096035537,0.5680944583895287,0.8559642933011591,0.004176167183938266
133,v_subj(No BPD.1.Stressed).1040,0.3735894080260945,0.20647111795386447,-0.010502754090651295,0.2344958659529598,0.3711596876026818,0.5090728834244476,0.7859287212256383,0.004334288165335794
134,v_subj(No BPD.1.Stressed).1042,0.058603141744555595,0.09917967589720564,-0.1300055117383978,-0.008484027798793425,0.05975423710241444,0.12330671512862618,0.26097340304609284,0.002011711775340856
135,v_subj(No BPD.1.Stressed).1043,0.43740661585750984,0.12789417679373577,0.19328226345188526,0.3514425631061734,0.4348681835582664,0.5194402417183417,0.6912589026745092,0.003211387672510728
136,v_subj(No BPD.1.Stressed).1044,0.44553521901080234,0.20178802863210032,0.056572765585978846,0.30856666195171906,0.44391811935638725,0.5782426274196014,0.8569411402860831,0.00508537460298583
137,v_subj(No BPD.1.Stressed).1047,0.4879547738915744,0.1628528585656145,0.17102751738997285,0.38286591181106094,0.4813712811822232,0.5977098776614276,0.8206075209210195,0.003996316032222417
138,v_subj(No BPD.1.Stressed).1052,0.018567732913233385,0.10160107678636242,-0.1801458640560344,-0.05185951299733116,0.019144004884433297,0.0893904973297357,0.21184729325665685,0.0019496504982511001
